Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Israel,  0.2,  0.2,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  2.3,  3.1,  4.4,  4.5,  5.4
Jordan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  0.2,  0.2,  0.2,  0.3,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.5,  0.4,  0.5,  2.8,  3.2,  4.7,  5.6,  6.4
Kuwait,  9.9,  10.8,  11.6,  11.0,  9.9,  10.7,  11.4,  11.9,  16.4,  13.2,  10.2,  7.9,  9.1,  9.9,  9.7,  13.7,  14.7,  14.6,  17.7,  11.8,  1.6,  9.5,  16.9,  18.0,  18.0,  18.0,  18.0,  18.4,  16.8,  17.9,  17.5,  15.7,  18.3,  19.6,  22.0,  22.6,  22.0,  23.0
Lebanon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oman,-,-,-,-,-,-,-,  0.3,  0.6,  0.7,  0.9,  1.0,  1.3,  1.9,  2.1,  2.6,  2.9,  3.0,  3.1,  4.9,  5.0,  4.8,  5.2,  5.5,  6.7,  7.3,  8.5,  8.8,  9.4,  11.4,  13.2,  13.4,  14.0,  14.1,  16.0,  17.6,  18.4,  19.1
Qatar,  1.9,  2.1,  3.0,  2.5,  4.2,  2.7,  3.0,  2.8,  5.4,  6.3,  7.8,  8.9,  9.3,  10.5,  10.5,  11.3,  11.5,  11.9,  12.4,  12.2,  13.6,  14.3,  14.9,  15.6,  16.2,  16.9,  18.3,  19.5,  21.8,  20.9,  21.7,  23.0,  25.2,  28.2,  29.7,  34.3,  38.1,  39.9
Saudi Arabia,  2.7,  3.0,  3.6,  4.5,  5.4,  7.3,  8.7,  11.0,  13.1,  21.2,  30.1,  31.8,  30.1,  33.3,  34.1,  42.9,  45.7,  49.5,  51.4,  46.8,  48.1,  53.3,  55.7,  60.1,  61.4,  63.4,  65.7,  68.1,  67.7,  74.9,  78.3,  90.1,  93.3,  99.3,  109.7,  113.3,  116.7,  126.9
Syrian Arab Republic ,-,-,-,-,-,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.3,  0.3,  0.8,  0.8,  1.8,  2.9,  3.2,  3.6,  3.7,  3.5,  3.8,  4.8,  5.2,  7.7,  9.8,  10.1,  10.4,  9.8,  11.8,  12.1,  12.3,  10.8,  11.2,  10.8,  10.7
United Arab Emirates,  2.0,  2.0,  2.4,  2.3,  3.3,  3.8,  6.6,  7.9,  8.5,  9.6,  12.2,  12.8,  11.7,  16.0,  19.8,  24.1,  27.5,  27.8,  33.8,  33.1,  39.9,  36.7,  38.5,  44.5,  48.5,  57.9,  56.8,  59.7,  61.4,  64.2,  63.2,  71.4,  74.1,  78.7,  79.9,  84.3,  97.7,  112.5
Yemen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Middle East,  25.8,  28.4,  33.7,  34.5,  38.1,  42.1,  46.9,  49.5,  63.6,  67.9,  78.0,  83.2,  84.0,  97.0,  103.6,  122.9,  134.7,  144.0,  165.4,  162.7,  171.9,  187.6,  207.9,  235.1,  251.6,  264.6,  280.3,  298.1,  315.7,  336.7,  346.4,  383.4,  408.4,  447.2,  476.7,  513.6,  565.5,  608.2
Albania,  0.2,  0.3,  0.4,  0.4,  0.6,  0.7,  0.7,  0.7,  0.7,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.8,  0.7,  0.5,  0.3,  0.2,  0.2,  0.1,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  0.9,  0.9,  0.8,  0.3,  0.3,  0.3,  0.5,  0.3,  0.3,  0.3,  0.5,  0.3,  0.3,  0.4,  0.6,  0.7,  0.7,  0.8,  0.8
Bulgaria,  0.6,  0.4,  0.4,  0.9,  2.3,  4.0,  5.1,  5.4,  5.8,  7.4,  8.1,  8.9,  9.4,  9.9,  10.8,  10.7,  11.9,  11.6,  11.9,  12.0,  10.3,  9.1,  8.2,  8.1,  10.0,  10.1,  8.1,  6.9,  5.8,  6.2,  5.6,  5.1,  5.3,  5.2,  5.9,  6.2,  6.3,  6.1
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  4.7,  4.3,  4.5,  4.9,  4.6,  4.1,  4.5,  4.7,  4.6,  4.6,  4.7,  4.9,  5.1,  5.0,  5.3,  5.1,  5.1,  5.8,  5.6
