Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Kenya,  0.2,  0.1,  0.2,  0.2,  0.1,  0.2,  0.2,  0.1,  0.0,  0.0,  0.2,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.3,  0.3,  0.4,  0.4,  0.4,  0.3,  0.3,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.2,  0.3,  0.2,  0.3,  0.3,  0.3
Libyan Arab Jamahiriya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morocco,  1.2,  1.5,  1.4,  1.4,  1.7,  1.9,  1.8,  1.8,  1.4,  1.6,  1.8,  1.7,  2.3,  2.2,  2.7,  3.4,  4.0,  3.9,  4.1,  4.1,  4.5,  3.9,  4.0,  4.4,  6.1,  7.2,  7.1,  7.9,  7.6,  9.2,  11.7,  12.0,  11.2,  10.7,  11.3,  11.3,  11.5,  10.2
Mozambique,  1.5,  1.2,  1.4,  1.3,  1.2,  1.2,  0.7,  0.6,  0.5,  0.7,  0.7,  0.6,  0.4,  0.3,  0.2,  0.2,  0.1,  0.2,  0.2,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,-,-,-,-,-,-,-,-,-,-,-,  0.0,  0.0
Namibia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,  0.0,  0.0,  0.2,  0.2,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,-,  0.0,  0.0,  0.0,  0.1,  0.2,  0.9
Nigeria,  0.5,  0.7,  0.7,  0.6,  0.6,  0.6,  0.6,  0.5,  0.5,  0.4,  0.4,  0.2,  0.2,  0.2,  0.2,  0.3,  0.3,  0.1,  0.2,  0.2,  0.2,  0.1,  0.0,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.0,  0.0,  0.0,  0.0,  0.0
Senegal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.3,  0.4,  0.4,  0.5,  0.5
South Africa,  146.3,  143.3,  155.4,  160.7,  175.1,  187.4,  187.6,  162.6,  170.3,  179.4,  183.8,  180.4,  174.7,  185.7,  189.5,  187.1,  199.8,  197.5,  204.4,  208.3,  204.8,  205.2,  209.0,  213.0,  227.3,  236.2,  248.0,  258.2,  240.1,  248.1,  232.8,  242.5,  266.2,  280.1,  271.1,  272.3,  279.5,  275.1
Sudan,-,-,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
United Rep. of Tanzania,-,-,-,-,-,-,-,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.0,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.2,  0.2,  0.2,  0.2,  0.1,  0.2,  0.2,  0.2,  0.2,  0.2
Togo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
